"dataset","optimizer","test_type","success","total_time","avg_window_time","windows_processed","throughput","error_message"
"small_bubble","mlsl","confidence",TRUE,16.6396026611328,2.68185778458913,5,18.0292766666086,""
"small_bubble","de","confidence",TRUE,12.8606240749359,2.05631073315938,5,23.3270172778528,""
"small_bubble","hybrid","confidence",TRUE,1.00438857078552,0.0743811130523682,5,298.689181384624,""
"medium_bubble","mlsl","confidence",TRUE,51.88685131073,8.55609556039174,5,5.78181162320716,""
"medium_bubble","de","confidence",TRUE,39.9371047019958,6.56572433312734,5,7.5118114404775,""
"medium_bubble","hybrid","confidence",TRUE,1.15769982337952,0.0993799765904744,5,259.134530334686,""
"large_bubble","mlsl","confidence",TRUE,230.842570781708,38.3847921689351,5,1.29958698252278,""
"large_bubble","de","confidence",TRUE,178.864493608475,29.7187734444936,5,1.67724736166298,""
"large_bubble","hybrid","confidence",TRUE,1.54474663734436,0.164977153142293,5,194.206604984584,""
"small_regular","mlsl","confidence",TRUE,16.3258366584778,2.62926109631856,5,18.3757810564774,""
"small_regular","de","confidence",TRUE,13.8532133102417,2.2149760723114,5,21.6556255419968,""
"small_regular","hybrid","confidence",TRUE,1.0186083316803,0.0733469724655151,5,294.519483759886,""
"medium_regular","mlsl","confidence",TRUE,53.3849837779999,8.80362876256307,5,5.61955776267616,""
"medium_regular","de","confidence",TRUE,43.2584290504456,7.10745092233022,5,6.93506460093955,""
"medium_regular","hybrid","confidence",TRUE,1.21297955513,0.101546883583069,5,247.324861108518,""
"volatile_data","mlsl","confidence",TRUE,34.2161953449249,5.60345681508382,5,8.76777786003893,""
"volatile_data","de","confidence",TRUE,26.9103844165802,4.3919860124588,5,11.1481127640511,""
"volatile_data","hybrid","confidence",TRUE,1.17473292350769,0.0930742025375366,5,255.377195953797,""
